institute_code,institute_name,Choice_code,departments,Status,gopens,gscs,gsts,gvjs,gnt1s,gnt2s,gnt3s,gobcs,tfws,ews,city
3198,Konkan Gyanpeeth College of Engineering Karja,319899510,Artificial Intelligence and Data Science,Un-Aided,55410,104421,,,,78036,111950,74669,56569,86322,Karjat
3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,319924510,Computer Engineering,Un-Aided Autonomous ,1080,,,,,,,,1604,,Mumbai
3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,319924610,Information Technology,Un-Aided Autonomous,2232,,,,,,,,2183,,Mumbai
3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,319926310,AI and Data Science,Un-Aided Autonomous,2279,,,,,,,,2917,,Mumbai
3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,319937210,Electronics and Telecommunication Engg,Un-Aided Autonomous,5484,,,,,,,,6705,,Mumbai
3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering,319961210,Mechanical Engineering,Un-Aided Autonomous,9649,,,,,,,,11219,,Mumbai
3200,Hope Foundation & research center's Finolex Academy of Management & Tech,320024610,Information Technology,Un-Aided,42219,63802,132420,,4282,,,48807,22311,55887,Ratnagiri
3200,Hope Foundation & research center's Finolex Academy of Management & Tech,320029310,Electrical Engineering,Un-Aided,102523,137930,,,,,,25802,52196,114270,Ratnagiri
3200,Hope Foundation & research center's Finolex Academy of Management & Tech,320037210,Electronics and Telecommunication Engg,Un-Aided,70935,140954,,,,,,87268,30508,84818,Ratnagiri
3200,Hope Foundation & research center's Finolex Academy of Management & Tech,320061210,Mechanical Engineering,Un-Aided,87247,142290,,,115621,,,122778,75357,140288,Ratnagiri
3200,Hope Foundation & research center's Finolex Academy of Management & Tech,320091110,CS & AI and ML,Un-Aided,31578,73387,40942,,,,,,17404,51529,Ratnagiri
3201,Rizvi Education Society's Rizvi College of Engineering,320119110,Civil Engineering,Un-Aided Religious Minority Muslim,60962,,,,,,,,,,Mumbai
3201,Rizvi Education Society's Rizvi College of Engineering,320124510,Computer Engineering,Un-Aided Religious Minority Muslim,18162,,,,,,,,15781,,Mumbai
3201,Rizvi Education Society's Rizvi College of Engineering,320161210,Mechanical Engineering,Un-Aided Religious Minority Muslim,84860,,,,,,,,,,Mumbai
3201,Rizvi Education Society's Rizvi College of Engineering,320190010,Electronics and Computer Science,Un-Aided Religious Minority Muslim,37855,,,,,,,,35515,,Mumbai
3201,Rizvi Education Society's Rizvi College of Engineering,320199510,Artificial Intelligence and Data Science,Un-Aided Religious Minority Muslim,23269,,,,,,,,15715,,Mumbai
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,320224510,Computer Engineering,Un-Aided,81234,119556,,,,102172,,84795,51030,103338,Ratnagiri
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,320260210,Automobile Engineering,Un-Aided,91717,,,,,,,,,119410,Ratnagiri
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,320261210,Mechanical Engineering,Un-Aided,115920,,,,,,,,,,Ratnagiri
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,320290010,Electronics and Computer Science,Un-Aided,95452,,,,,,,129533,94222,121093,Ratnagiri
3203,Atharva College of Engineering Malad(West),320324510,Computer Engineering,Un-Aided,14252,22593,54629,61313,,19074,,19928,12095,24219,Mumbai
3203,Atharva College of Engineering Malad(West),320324610,Information Technology,Un-Aided,17528,26756,119519,,24268,50010,18710,23262,14875,32329,Mumbai
3203,Atharva College of Engineering Malad(West),320329310,Electrical Engineering,Un-Aided,60157,100198,,,74094,,,94662,47655,138861,Mumbai
3203,Atharva College of Engineering Malad(West),320337210,Electronics and Telecommunication Engg,Un-Aided,40956,59916,,74052,44182,123339,90855,63172,34916,88418,Mumbai
3203,Atharva College of Engineering Malad(West),320390010,Electronics and Computer Science,Un-Aided Minority - Christian,27549,36372,,74430,,,74272,39862,26828,59480,Mumbai
3204,St. Francis Institute of Technology Borivali,320424510,Computer Engineering,Un-Aided Minority - Christian,10067,,,,,,,,9107,,Mumbai
3204,St. Francis Institute of Technology Borivali,320424610,Information Technology,Un-Aided Minority - Christian,11549,,,,,,,,11171,,Mumbai
3204,St. Francis Institute of Technology Borivali,320429310,Electrical Engineering,Un-Aided Minority - Christian,48199,,,,,,,,47677,,Mumbai
3204,St. Francis Institute of Technology Borivali,320437210,Electronics and Telecommunication Engg,Un-Aided Minority - Christian,27211,,,,,,,,31676,,Mumbai
3204,St. Francis Institute of Technology Borivali,320461210,Mechanical Engineering,Un-Aided Minority - Christian,47706,,,,,,,,,,Mumbai
3206,S.S.P.M.'s College of Engineering,320624510,Computer Engineering,Un-Aided,53846,125066,,,60589,108845,,68020,43341,83270,Kankavli
3206,S.S.P.M.'s College of Engineering,320629310,Electrical Engineering,Un-Aided,124469,,,,,,,,,131763,Kankavli
3206,S.S.P.M.'s College of Engineering,320656610,Computer Science,Un-Aided,48680,114675,,,,122532,,60096,39455,37025,Kankavli
3206,S.S.P.M.'s College of Engineering,320661210,Mechanical Engineering,Un-Aided,130800,,,,,,,,,107928,Kankavli
3207,Mahatma Education Society's Pillai College of Engineering,320724510,Computer Engineering,Un-Aided Linguistic Minority - Malyalam,14657,,,,,,,10684,,,New Panvel
3207,Mahatma Education Society's Pillai College of Engineering,320724610,Information Technology,Un-Aided Linguistic Minority - Malyalam,18416,,,,,,,,13375,,New Panvel
3207,Mahatma Education Society's Pillai College of Engineering,320737210,Electronics and Telecommunication Engg,Un-Aided Linguistic Minority - Malyalam,46548,,,,,,,,34597,,New Panvel
3207,Mahatma Education Society's Pillai College of Engineering,320760210,Automobile Engineering,Un-Aided Linguistic Minority - Malyalams,68265,,,,,,,,72078,,New Panvel
3207,Mahatma Education Society's Pillai College of Engineering,320761210,Mechanical Engineering,Un-Aided Linguistic Minority - Malyalams,57308,,,,,,,,70049,,New Panvel
3207,Mahatma Education Society's Pillai College of Engineering,320790010,Electronics and Computer Science,Un-Aided Linguistic Minority - Malyalams,32197,,,,,,,,31992,,New Panvel
3208,Don Bosco Institute of Technology,320824510,Computer Engineering,Un-Aided Religious Minority - Roman Catholics,9819,,,,,,,,8432,,Mumbai
3208,Don Bosco Institute of Technology,320824610,Information Technology,Un-Aided Religious Minority - Roman Catholics,11353,,,,,,,,11353,,Mumbai
3208,Don Bosco Institute of Technology,320837210,Electronics and Telecommunication Engg,Un-Aided Religious Minority - Roman Catholics,31219,,,,,,,,21906,,Mumbai
3208,Don Bosco Institute of Technology,320861210,Mechanical Engineering,Un-Aided Religious Minority - Roman Catholics,58167,,,,,,,,,,Mumbai
3208,Don Bosco Institute of Technology,320924510,Computer Engineering,Un-Aided Religious Minority - Roman Catholics,4558,,,,,,,,3007,,Mumbai
3208,Don Bosco Institute of Technology,320924610,Information Technology,Un-Aided Religious Minority - Roman Catholics,6715,,,,,,,,5106,,Mumbai
3208,Don Bosco Institute of Technology,320937210,Electronics and Telecommunication Engg,Un-Aided Religious Minority - Roman Catholics,13951,,,,,,,,12052,,Mumbai
3208,Don Bosco Institute of Technology,320999510,Artificial Intelligence and Data Science,Un-Aided Religious Minority - Roman Catholics,8114,,,,,,,,6953,,Mumbai
3210,Excelsior Education Society's K.C. College of Engineering and Management Studies and Research,321024510,Computer Engineering,Un-Aided Linguistic Minority - Punjabi,27339,,,,,,,,19613,,Thane
3210,Excelsior Education Society's K.C. College of Engineering and Management Studies and Research,321024610,Information Technology,Un-Aided Linguistic Minority - Punjabi,32611,,,,,,,,26709,,Thane
3210,Excelsior Education Society's K.C. College of Engineering and Management Studies and Research,321037210,Electronics and Telecommunication Engg,Un-Aided Linguistic Minority - Punjabi,63955,,,,,,,,54752,,Thane
3211,S.I.E.S. Graduate School of Technology Nerul,321124510,Computer Engineering,Un-Aided Linguistic Minority - Tamil,10294,,,,,,,,8434,,Navi Mumbai
3211,S.I.E.S. Graduate School of Technology Nerul,321124610,Information Technology,Un-Aided Linguistic Minority - Tamil,11675,,,,,,,,10392,,Navi Mumbai
3211,S.I.E.S. Graduate School of Technology Nerul,321137210,Electronics and Telecommunication Engg,Un-Aided Linguistic Minority - Tamil,25282,,,,,,,,25550,,Navi Mumbai
3211,S.I.E.S. Graduate School of Technology Nerul,321192110,Artificial Intelligence and Machine Learning,Un-Aided Linguistic Minority - Tamil,15077,,,,,,,,14338,,ULHASNAGAR
3212,WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY,321219110,Civil Engineering,Un-Aided Linguistic Minority - Sindhi,,,,,,,,,122050,,ULHASNAGAR
3212,WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY,321224510,Computer Engineering,Un-Aided Linguistic Minority - Sindhi,48628,,,,,,,,34453,,ULHASNAGAR
3215,Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology  Andheri,321524210,Computer Science and Engineering,Un-Aided Autonomous,630,5980,21385,2938,2768,2904,1749,1508,851,,Mumbai
3215,Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology  Andheri,321524510,Computer Engineering,Un-Aided Autonomous,435,5793,24469,1063,1801,2514,1723,1352,,,Mumbai
